Proposal Number,Name,Blockheight,Date,Proposal Type,Author,Proposal Status,Amount (spending proposal),Text,Working Group,Council Approvals,Community Roadmap - Mainnet,Tags,URL
178,Partial Refill for CWG,1230943,"March 5, 2023 4:56 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,jen4ph,,,,,1,,,
179,Partial Refill for HR WG,1230952,"March 5, 2023 5:00 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,jen4ph,,,,,1,,,
180,Term 6 BWG Budget,1256669,"March 5, 2023 10:40 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,chaos77,,,,,1,,,
181,Notion Changes - March 2023,1243365,"March 6, 2023 1:40 (GMT+1)",SignalProposalDetails,tomato,,,,,1,Notion (Archive/Community%20Roadmap%20-%20Mainnet/Notion%2074b896d41d124b8a83374f03bd07e33b.md),,
182,Council Plan Term 6,1244154,"March 6, 2023 5:49 (GMT+1)",SignalProposalDetails,jen4ph,,,,,1,,,
183,Request: Closure of #faucet Discord chan,1262636,"March 7, 2023 8:03 (GMT+1)",SignalProposalDetails,tomato,,,,,1,Discord (Archive/Community%20Roadmap%20-%20Mainnet/Discord%2064386cff9f8847ae8c4b10107b95ae47.md),,
184,Traning: Making Effective Proposals,1259291,"March 7, 2023 11:09 (GMT+1)",SignalProposalDetails,jen4ph,,,,,0,,,
185,Refill DWG Budget,1263169,"March 7, 2023 17:37 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,jen4ph,,,,,0,,,
186,Update DWG Lead salary,1273163,"March 8, 2023 10:16 (GMT+1)",SetWorkingGroupLeadRewardProposalDetails,0x2bc,,,,,0,,,
187,Refill FWG Budget,1280803,"March 8, 2023 19:52 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,jen4ph,,,,,1,,,
188,Update MWG Budget,1283191,"March 9, 2023 2:59 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,leet_joy,,,,,0,,,
189,OKR process,1300722,"March 9, 2023 11:00 (GMT+1)",SignalProposalDetails,0x2bc,,,,,0,OKRs (Archive/Community%20Roadmap%20-%20Mainnet/OKRs%205b48144cdb42419f8da5e442a127876a.md),,
190,"Make Council Feedback category on Forum ",1299905,"March 9, 2023 22:38 (GMT+1)",SignalProposalDetails,0x2bc,,,,,0,Forums (Archive/Community%20Roadmap%20-%20Mainnet/Forums%201bf1d86bf7c34a5abe29fb0457ae6b09.md),,
191,Content Rewards Policy,1308346,"March 10, 2023 20:55 (GMT+1)",SignalProposalDetails,igrex,,,,,0,Devise Content Rewards Policy (Archive/Community%20Roadmap%20-%20Mainnet/Devise%20Content%20Rewards%20Policy%2037bba01d2a49494fac7fcfefb1b1a936.md),,
192,Refill HR budget,1315338,"March 10, 2023 22:59 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,0x2bc,,,,,1,,,
193,"Refill Content WG budget ",1315327,"March 10, 2023 23:02 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,0x2bc,,,,,1,,,
194,Refill Storage WG Budget,1315292,"March 10, 2023 23:06 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,0x2bc,,,,,1,,,
