Name,Attributes,Builder Weight,Content Weight,Deadline (Local Time),Deadline [block],Deadline timestamp,Distributor Weight,Effective Deadline,Forum Link,Forum Report Source,Forum Weight,Grade Name,Group,HR Weight,Handbook Link,Handover Weight,JSG Grading Status,Lead Opportunities Weight,Marketer Weight,Marketing Weight,Notion Link,Notion Source Link,Opportunity Target,Parent Score,Plan Weight,Property,Property 1,Property 2,Property 3,Proposal Link,Score,Score Notes,Spot Check Completed,Storage Weight,Submitted [Block],Submitted [Timestamp],Submitted [date/time],Subscores,Summary Weight,Summary Weight link,Weight
Forum Score,"Composite Grade, Master Score",,,,,,,,,,,FORUM_SCORE,Forum,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#score,,Completed,,,,,,,,,,,,On time,,0.47,,No,,,,,"Forum Report (Council%2010/Council%20Period%2010/Forum%20Report%200c8725563363452d8ae86c0c79504897.md), General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20d22743e545a744b89a5d9012f6de9402.md), Moderation Score (Council%2010/Council%20Period%2010/Moderation%20Score%20e48eea084177492ab0e7c68a879396b7.md), General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20857b3136c02c443d824d6266e657a70b.md)",,,
Council Period Summary,"Document, Forum Post, Grade, Master Score, Proposal",,,,,,,,https://dao.joystream.org/#/forum/thread/185,https://dao.joystream.org/#/forum/category/4,,SUMMARY_SCORE,Council,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#council-period-summary,,Completed,,,,"Rhodes 10 (https://www.notion.so/Rhodes-10-1e8a528da7f84e3a86e62e51be8c3344?pvs=21) ",,,Network Performance Score (Council%2010/Council%20Period%2010/Network%20Performance%20Score%2058c408bec2fd4c1dba4159b847123c9e.md),,,,,,https://dao.joystream.org/#/proposals/preview/251,0.65,"Incorrect Data, Late submission",No,,1072413,,,,,,
Moderation Score,"Group Specific Scores, Subscore",,,,,,,,,,,MODERATION_SCORE,Content,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#moderation_score,,Completed,,,,,,,Content Score (Council%2010/Council%20Period%2010/Content%20Score%20ce2d5b2755b340a387e826969753ab5c.md),,,,,,,0,,No,,,,,Total Breaches of Policy (Council%2010/Council%20Period%2010/Total%20Breaches%20of%20Policy%20d61a5b54dfbb4244a177fe751864c979.md),,,
Network Performance Score,"Composite Grade, Master Score, Overall Grade",,,,,,,,,,,NETWORK_PERFORMANCE_SCORE,Network,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#overview,,Not Completed,,,,,,,,,,,,"Incorrect Data,Late submission,Late submission",,0.514,,No,,,,,"Builder Score (Council%2010/Council%20Period%2010/Builder%20Score%20920a01e47ed84aff84356195a283787f.md), Content Score (Council%2010/Council%20Period%2010/Content%20Score%20ce2d5b2755b340a387e826969753ab5c.md), Distributor Score (Council%2010/Council%20Period%2010/Distributor%20Score%20501417c8484f41d48b43e07d82170356.md), Storage Score (Council%2010/Council%20Period%2010/Storage%20Score%20cd68026677b9495cb23d38d33a98a0bb.md), HR Score (Council%2010/Council%20Period%2010/HR%20Score%20d320184c34fe4b84aa097a98ee260a87.md), Council Period Summary (Council%2010/Council%20Period%2010/Council%20Period%20Summary%20b355ba605f5244eea892c3abe833a1b8.md), Council Period Plan (Council%2010/Council%20Period%2010/Council%20Period%20Plan%20e8a0170e14204dbab79d1fb6af539ade.md), Lead Opportunities (Council%2010/Council%20Period%2010/Lead%20Opportunities%20693d4722d48a4aa79f23169d27e52aca.md), Meeting score (Council%2010/Council%20Period%2010/Meeting%20score%209603ac28cfba47cebc575f3b04aaa48e.md)",,,
Member Faucet Empty,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,Council,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#member-faucet-empty,,Completed,,,,,,,,,,,,,,0,,No,,,,,,,,
WG Opportunities,"General WG Score, Grade, Spot Check, Subscore",,,,,,,,,,,WORKER_OPPORTUNITIES_SCORE,Storage,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,Completed,,,,,,,"General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%201d61814156844f98b97eb918adcba0fd.md), General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%2094a77ed584a147fead25d4c1b5a22e13.md)",,,,,,,0.143,,No,,,,,,,,
Violation of Content Policy,Catastrophic Errors,,,,,,,,,,,,Forum,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#catastrophic-errors,,Not Completed,,,,,,,,,,,,,,,,No,,,,,,,,
Distributors Report,"Document, Forum Post, Grade, Group Specific Scores, Subscore",,,,,,,,https://dao.joystream.org/#/forum/thread/173?post=397,https://dao.joystream.org/#/forum/category/15,,REPORT_SCORE,Distributors,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#report_score,,Data input - grading req,,,,,,,Distributor Score (Council%2010/Council%20Period%2010/Distributor%20Score%20501417c8484f41d48b43e07d82170356.md),,,,,,,0.571,"Forum post did not include markdown, Incomplete (Did not fulfill all requirements)",No,,1031241,,,,,,
Pioneer Development,"Grade, Group Specific Scores, Spot Check, Subscore",,,,,,,,,,,PIONEER_DEVELOPMENT_SCORE,Builders,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#pioneer_development_score,,Completed,,,,,,,Builder Score (Council%2010/Council%20Period%2010/Builder%20Score%20920a01e47ed84aff84356195a283787f.md),,,,,,,0.333,,No,,,,,,,,
Forum Report,"Document, Forum Post, Grade, Group Specific Scores, Subscore",,,,,,,,,,,REPORT_SCORE,Forum,,,,Completed,,,,,,,Forum Score (Council%2010/Council%20Period%2010/Forum%20Score%20a0f9828eb2814c3b9912a307c5655d0b.md),,,,,,,0.5,On time,No,,,,,,,,
Bounty Score,"General WG Score, Subscore",,,,,,,,,,,BOUNTY_SCORE,Forum,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,Completed,,,,,,,"General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20d22743e545a744b89a5d9012f6de9402.md), General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20857b3136c02c443d824d6266e657a70b.md)",,,,,,,0,,No,,,,,,,,
General WG Score,"Composite Grade, General WG Score, Subscore",,,,,,,,,,,GENERAL_WG_SCORE,Builders,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#general_wg_score,,Completed,,,,,,,Builder Score (Council%2010/Council%20Period%2010/Builder%20Score%20920a01e47ed84aff84356195a283787f.md),,,,,"No Proposal Found,On time,On time",,0.563,,No,,,,,"WG Period Plan (Council%2010/Council%20Period%2010/WG%20Period%20Plan%203e79e675eb2e4e9aac5869b88e29bc73.md), WG Summary (Council%2010/Council%20Period%2010/WG%20Summary%204a378e5cccfa437eb7cc91e407a8b8c8.md), WG Opportunities (Council%2010/Council%20Period%2010/WG%20Opportunities%2073005ffd21634c668bd7f0acd9362f35.md), Opening Score (Council%2010/Council%20Period%2010/Opening%20Score%206b8989ca02b7468baba9fb88565941a7.md), Bounty Score (Council%2010/Council%20Period%2010/Bounty%20Score%20cc8461e5b4a04fe1adfbb4fda8f68ea3.md)",,,
WG Opportunities,"General WG Score, Grade, Spot Check, Subscore",,,,,,,,,,,WORKER_OPPORTUNITIES_SCORE,HR,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,Completed,,,,,,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20cb85e1c4b737405c8a14edafc2c7ba3a.md),,,,,,,0.333,,No,,,,,,,,
Bounty Score,"General WG Score, Subscore",,,,,,,,,,,BOUNTY_SCORE,Builders,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,Completed,,,,,,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%2094a77ed584a147fead25d4c1b5a22e13.md),,,,,,,0,,No,,,,,,,,
Moderation Score,"Grade, Group Specific Scores, Spot Check",,,,,,,,,,,MODERATION_SCORE,Forum,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#moderation_score,,Completed,,,,,,,Forum Score (Council%2010/Council%20Period%2010/Forum%20Score%20a0f9828eb2814c3b9912a307c5655d0b.md),,,,,,,1,,No,,,,,,,,
Opening Score,"General WG Score, Subscore",,,,,,,,,,,OPENING_SCORE,Forum,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,Completed,,,,,,,"General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20d22743e545a744b89a5d9012f6de9402.md), General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20857b3136c02c443d824d6266e657a70b.md)",,,,,,,0,,No,,,,,,,,
Block time too low,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,Council,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#block-time-too-low,,Completed,,,,,,,,,,,,,,0,,No,,,,,,,,
Opening Score,"General WG Score, Subscore",,,,,,,,,,,OPENING_SCORE,Storage,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,Completed,,,,,,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%201d61814156844f98b97eb918adcba0fd.md),,,,,,,0.333,,No,,,,,,,,
WG Opportunities,"General WG Score, Grade, Spot Check, Subscore",,,,,,,,,,,WORKER_OPPORTUNITIES_SCORE,Builders,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,Completed,,,,,,,,,,,,,,0.25,,No,,,,,,,,
WG Period Plan,"Document, Forum Post, General WG Score, Grade, Proposal, Subscore",,,,,,,,https://dao.joystream.org/#/forum/thread/169?post=348,,,PLAN_SCORE,Storage,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,Completed,,,,,,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%201d61814156844f98b97eb918adcba0fd.md),,,,,,https://dao.joystream.org/#/proposals/preview/245,0.9,On time,No,,945126,,,,,,
Missed runtime upgrade,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,Council,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#missed-runtime-upgrade,,Completed,,,,,,,,,,,,,,0,,No,,,,,,,,
Lead Opportunities,"Grade, Master Score",,,,,,,,,,,LEAD_OPPORTUNITIES_SCORE,Council,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#lead-opportunities,,Completed,,,,,,,Network Performance Score (Council%2010/Council%20Period%2010/Network%20Performance%20Score%2058c408bec2fd4c1dba4159b847123c9e.md),,,,,,,0.2,,No,,,,,,,,
General WG Score,"Composite Grade, General WG Score",,,,,,,,,,,GENERAL_WG_SCORE,HR,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,,Completed,,,,,,,HR Score (Council%2010/Council%20Period%2010/HR%20Score%20d320184c34fe4b84aa097a98ee260a87.md),,,,,"On time,Incorrect Data,On time",,0.553,,No,,,,,"WG Period Plan (Council%2010/Council%20Period%2010/WG%20Period%20Plan%20584ce147d6e649edb2899f1e74bcb4bc.md), WG Summary (Council%2010/Council%20Period%2010/WG%20Summary%20d989f16ab5d247ceac65d5a70fc1041a.md), WG Opportunities (Council%2010/Council%20Period%2010/WG%20Opportunities%20a5afa6b13f3d4c9f8b9e6da26f34507d.md), Opening Score (Council%2010/Council%20Period%2010/Opening%20Score%209c62a37232e0437682a8b9ca42c5571b.md), Bounty Score (Council%2010/Council%20Period%2010/Bounty%20Score%206d3c848218ba4e9bb90c91576df19f8f.md)",,,
WG Summary,"Document, Forum Post, General WG Score, Grade, Proposal, Summary",,,,,,,,https://dao.joystream.org/#/forum/thread/204?post=420,,,SUMMARY_SCORE,HR,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,Completed,,,,,,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20cb85e1c4b737405c8a14edafc2c7ba3a.md),,,,,,,0.9,"Incorrect Data, On time",No,,1050144,,,,,,
System,"Grade, Group Specific Scores, Spot Check, Subscore",,,,,,,,,,,SYSTEM_SCORE,Distributors,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#system_score,,Completed,,,,,,,Distributor Score (Council%2010/Council%20Period%2010/Distributor%20Score%20501417c8484f41d48b43e07d82170356.md),,,,,,,0,,No,,,,,,,,
General WG Score,"Composite Grade, General WG Score",,,,,,,,,,,GENERAL_WG_SCORE,Marketing,,,,Completed,,,,,,,Forum Score (Council%2010/Council%20Period%2010/Forum%20Score%20a0f9828eb2814c3b9912a307c5655d0b.md),,,,,"Incorrect Data,On time,On time,Incorrect Data,No Proposal Found,On time",,0.447,,No,,,,,"WG Summary (Council%2010/Council%20Period%2010/WG%20Summary%204e8266b96af64455a0a2edd0fcc3d242.md), WG Opportunities (Council%2010/Council%20Period%2010/WG%20Opportunities%204e7d604e7f63495e9eab52f461bc75cd.md), Opening Score (Council%2010/Council%20Period%2010/Opening%20Score%20368b6391520542ba92154f7f51034b9d.md), Bounty Score (Council%2010/Council%20Period%2010/Bounty%20Score%20699d09071cfc40b5b8283a529049d897.md), WG Period Plan (Council%2010/Council%20Period%2010/WG%20Period%20Plan%206a0d152b16dc4f9799ff6e2d0f555338.md), WG Summary (Council%2010/Council%20Period%2010/WG%20Summary%209a794460dd734a12a2f4d5c818d7af49.md), WG Opportunities (Council%2010/Council%20Period%2010/WG%20Opportunities%202545723058c347cebcd357aabcd79169.md), Bounty Score (Council%2010/Council%20Period%2010/Bounty%20Score%203c11a561d8814e308f51a673b414b7d5.md), Opening Score (Council%2010/Council%20Period%2010/Opening%20Score%2069cc25c8eea649f9acc02d6add161522.md)",,,
WG Period Plan,"Document, Forum Post, General WG Score, Grade, Proposal, Subscore",,,,,,,,https://dao.joystream.org/#/forum/thread/177,,,PLAN_SCORE,Marketing,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,Completed,,,,,,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20857b3136c02c443d824d6266e657a70b.md),,,,,,https://dao.joystream.org/#/proposals/preview/245,0.9,On time,No,,979587,,,,,,
WG Opportunities,"Document, Forum Post, General WG Score, Grade",,,,,,,,,,,WORKER_OPPORTUNITIES_SCORE,Marketing,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,Completed,,,,,,,"General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20d22743e545a744b89a5d9012f6de9402.md), General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20857b3136c02c443d824d6266e657a70b.md)",,,,,,,0.25,,No,,,,,,,,
Bounty Score,"General WG Score, Subscore",,,,,,,,,,,BOUNTY_SCORE,Marketing,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,Completed,,,,,,,"General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20d22743e545a744b89a5d9012f6de9402.md), General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20857b3136c02c443d824d6266e657a70b.md)",,,,,,,0,,No,,,,,,,,
Opening Score,"General WG Score, Subscore",,,,,,,,,,,OPENING_SCORE,Marketing,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,Completed,,,,,,,"General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20d22743e545a744b89a5d9012f6de9402.md), General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20857b3136c02c443d824d6266e657a70b.md)",,,,,,,0.333,,No,,,,,,,,
Marketing Report,"Document, Forum Post, Proposal, Report",,,,,,,,https://dao.joystream.org/#/forum/thread/212,,,REPORT_SCORE,Marketing,,,,Data input - grading req,,,,,,,,,,,,,,,On time,No,,1054890,,,,,,
Documentation Score,"Grade, Subscore",,,,,,,,,,,DOCUMENTATION_SCORE,Marketing,,,,Not Completed,,,,,,,,,,,,,,,,No,,,,,,,,
Inadequate Report,Catastrophic Errors,,,,,,,,,,,,Marketing,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/marketers-score#inadequate-report,,Not Completed,,,,,,,,,,,,,,,,No,,,,,,,,
Workflow Violation,Catastrophic Errors,,,,,,,,,,,,Marketing,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/marketers-score#inadequate-report-1,,Not Completed,,,,,,,,,,,,,,,,No,,,,,,,,
Builders Report,"Document, Forum Post, Grade, Group Specific Scores, Subscore",,,,,,,,https://dao.joystream.org/#/forum/thread/206,,,REPORT_SCORE,Builders,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score,,Completed,,,,https://www.notion.so/5f75e0676ffe4a599c75a190d54a64b8?pvs=21,,,Builder Score (Council%2010/Council%20Period%2010/Builder%20Score%20920a01e47ed84aff84356195a283787f.md),,,,,,,0.75,,No,,,,,,,,
WG Summary,"Document, Forum Post, General WG Score, Grade, Proposal, Subscore, Summary",,,,,,,,https://dao.joystream.org/#/forum/thread/212,,,SUMMARY_SCORE,Marketing,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,Completed,,,,,,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20857b3136c02c443d824d6266e657a70b.md),,,,,,,0.75,"Incorrect Data, No Proposal Found, On time",No,,1033608,,,,,,
Research Score,"Group Specific Scores, Subscore",,,,,,,,,,,RESEARCH_SCORE,Storage,,,,Completed,,,,,,,,,,,,,,0,,No,,,,,,,,
Content Report,"Forum Post, Group Specific Scores",,,,1065174,,,,https://dao.joystream.org/#/forum/thread/217,,,REPORT_SCORE,Content,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#report_score,,Completed,,,,,,,Content Score (Council%2010/Council%20Period%2010/Content%20Score%20ce2d5b2755b340a387e826969753ab5c.md),,,,,,,0.2,,No,,1065174,,,,,,
Featuring Score,"Group Specific Scores, Subscore",,,,,,,,,,,FEATURING_SCORE,Content,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#featuring_score,,Completed,,,,,,,Content Score (Council%2010/Council%20Period%2010/Content%20Score%20ce2d5b2755b340a387e826969753ab5c.md),,,,,,,0.183,,No,,,,,,,,
Marketer Report,Group Specific Scores,,,,,,,,,,,REPORT_SCORE,Marketing,,,,,,,,,,,,,,,,,,-1,,No,,,,,,,,
Marketing Score,Master Score,,,,,,,,,,,MARKETER_SCORE,Marketing,,,,,,,,,,,,,,,,,,0.298,,No,,,,,,,,
Recruiting Score,Group Specific Scores,,,,,,,,,,,RECRUITING_SCORE,Marketing,,,,,,,,,,,,,,,,,,-1,,No,,,,,,,,
Documentation Score,Group Specific Scores,,,,,,,,,,,DOCUMENTATION_SCORE,Marketing,,,,,,,,,,,,,,,,,,0,,No,,,,,,,,
