Channel Title,Channel_URL,Date Signed Up to YPP,Subscribers YT,Gleev Channel ID,New Synced Vids,Videos Sync Reward in USD,Sign Up Reward in USD,Latest Referral Reward in USD,Latest Overall YPP Reward in JOY,Total YPP Rewards in JOY
SONAS,channel/UCsnshC5psdqB6laFJS8mIiA,2023-06-01,1150.0,26132,2.0,6.0,0.0,10.0,"1,851","8,134"
Spy Mk,channel/UCom0QOVrkZSQ1MqnIzdWZhg,2023-07-25,2080.0,26703,0.0,0.0,0.0,0.0,0,"3,921"
TECHNO TINKU,channel/UC5T9b4lEmZ6kNlBFrwHMLjw,2023-07-18,1410.0,26615,0.0,0.0,0.0,0.0,0,"4,578"
THE TRUST OFFICIAL,channel/UCQ-NZpfQ6nrH4YYR814nIKg,2023-04-17,170.0,25744,0.0,0.0,0.0,0.0,0,"5,000"
Tima Morze,channel/UC95WXno_pfeqegxv6xC0x3Q,2023-06-17,86.0,26385,0.0,0.0,0.0,0.0,0,"5,000"
TRIGS,channel/UCOYoVj20SuXCmDuEuctgrbA,2023-07-01,144000.0,26499,4.0,60.0,0.0,0.0,"6,940","141,003"
TRON KING ,channel/UCPPkhjnLfICwOZqQJZDgsag,2023-08-08,1300.0,26872,5.0,15.0,20.0,0.0,"4,048","4,048"
UloggersTV,channel/UCzI3Rjamg7zSe_o0BwSeIQQ,2023-07-28,8160.0,26727,54.0,112.5,0.0,0.0,"12,954","22,085"
VEN BUSINESS,channel/UC4L0SjMBOA3NfvIK_V0Pgsg,2023-07-31,2450.0,26789,19.0,45.0,0.0,0.0,"5,205","8,856"
Vi Ma,channel/UCw4PyXd7dF9CT95oDrkPKTg,2023-06-18,108.0,26430,0.0,0.0,0.0,0.0,0,"5,000"
Vladyslav,channel/UCbehDkiZtVDh4821XpnlCyQ,2023-04-02,63.0,21911,0.0,0.0,0.0,0.0,0,"20,300"
Vladyslav Yakymenko,channel/UCqlrEb-eMHHN4uaPNQHSNRA,2023-06-07,3030.0,26190,0.0,0.0,0.0,0.0,0,"5,000"
Web3 with Dustin Lee,channel/UC9XRynABG-YSiGh1iLSk18g,2023-06-12,727.0,26258,0.0,0.0,0.0,0.0,0,"5,000"
web3easy,channel/UCxVy-VGaiFXX7-GDsO_PYQw,2023-07-30,2100.0,26785,2.0,6.0,0.0,10.0,"1,851","5,502"
When Airdrop,channel/UCzyfgzUt3R0PRPf319LHIRQ,2023-07-28,1230.0,26733,8.0,24.0,0.0,0.0,"2,776","6,427"
Yulia Gorenshteyn,channel/UCwpYJlHrMcLpWtTWZOi-1Nw,2023-06-16,128.0,25895,1.0,3.0,0.0,0.0,347,"7,116"
ZEFIRIUM,channel/UCgCg8S1W7nwhAqS7EGzDa-Q,2023-05-25,363.0,26053,0.0,0.0,0.0,0.0,0,"9,525"
Александр BestMoney,channel/UCaPVc5uD9O6eLeORhP1c-7w,2023-07-23,2150.0,26669,17.0,45.0,0.0,10.0,"6,361","13,934"
Алексей Адаменко - Криптовалюта,channel/UCewSTV1XOp_mUos_pSFaGCQ,2023-06-17,3880.0,26410,5.0,15.0,0.0,0.0,"1,735","18,122"
Алексей Волков,channel/UCVDqk5ZHu4kVOof7gJeG3cQ,2023-05-28,6010.0,25826,92.0,112.5,0.0,0.0,"12,954","90,893"
Бабкина Крипта,channel/UCQ8FnfuhT1sSilMUSSUC0-A,2023-06-11,1150.0,26231,13.0,39.0,0.0,0.0,"4,511","47,997"
БРАЦЛАВСКИЙ НИКИТА инвестиции в крипту,channel/UCWGjEkcrfaAAKOnlqbQfWwQ,2023-06-12,1080.0,26234,16.0,45.0,0.0,0.0,"5,205","47,994"
Валерий Жиленко,channel/UCTHwXt9F44uhhbwqy8Y9iAQ,2023-04-29,57.0,25877,0.0,0.0,0.0,0.0,0,"38,458"
ВАНЯ VIPER,channel/UCIjL1WYEpMcgH43fo5zeSMA,2023-08-09,8570.0,27205,1.0,7.5,50.0,0.0,"6,593","6,592"
Виктор Подлипаев,channel/UCuJX__5z-t00r_lqsYuMyNA,2023-05-22,284.0,25731,2.0,6.0,0.0,0.0,694,"18,093"
Віктор Романюк,channel/UC0L6pv7DhtWBlGS7Cq9ZNNg,2023-08-01,2450.0,26803,6.0,18.0,0.0,10.0,"3,238","8,717"
Высшая Лига Money,channel/UC5DoJFn6-8ctJm8JNcRGcqw,2023-08-06,2730.0,26911,0.0,0.0,20.0,0.0,"2,313","2,313"
ДЕЛАЙ ДЕНЬГИ В ИНТЕРНЕТЕ,channel/UCqkhunEN9ZZSJmlghLlK3EQ,2023-08-05,5790.0,26892,0.0,0.0,50.0,25.0,"8,675","8,674"
Денис Скрипник,channel/UCVxnIxHp7teDXamg5eUyFlw,2023-06-13,127.0,26272,0.0,0.0,0.0,0.0,0,"5,000"
Деньги здесь и сейчас !,channel/UCcHBogFSl_RWhYoAD-GkYZA,2023-08-07,645.0,27047,0.0,0.0,20.0,0.0,"2,313","2,313"
Дневник Инвестора,channel/UClC1O_cpUmTnM23nIqMO10w,2023-08-07,9780.0,26988,2.0,15.0,50.0,0.0,"7,518","7,517"
ДохідUA,channel/UCdJS8PJMWiQhl66_rOt3Bow,2023-08-04,17600.0,26831,3.0,22.5,50.0,0.0,"8,328","8,327"
Евгений Вертель,channel/UCWv0EXT0T6lHFZGNeTq8uPQ,2023-08-07,4060.0,26985,1.0,3.0,20.0,0.0,"2,660","2,660"
Жизнь и работа в интернете!,channel/UC2Kl7D5Q-XNxdkVzsKAdyuw,2023-07-30,3870.0,26786,12.0,36.0,0.0,10.0,"5,320","15,365"
Заработай сидя дома,channel/UClyspqT5QnlI1roLYle9wFw,2023-07-16,8170.0,26594,4.0,30.0,0.0,10.0,"4,626","30,814"
ЗАРАБОТОК В ИНТЕРНЕТЕ ЛУЧШИЕ ВИДЕО!,channel/UCKVy5BoBOQr1vBKzFDGo2ww,2023-07-23,90.0,26661,26.0,45.0,0.0,0.0,"5,205","12,066"
Заработок разное.,channel/UCuGb9FMnNMCk5IDTS4U97ZA,2023-07-29,1550.0,26767,1.0,3.0,0.0,0.0,347,"3,998"
Заробіток з HONTARUK,channel/UCUO_GkYubu_YMcwFdR_l3Vw,2023-08-08,500.0,27156,2.0,6.0,20.0,0.0,"3,007","3,007"
Заробіток на Криптовалюті,channel/UCgW-WZKYnVFTYP66MVaOx9A,2023-06-17,313.0,26409,2.0,6.0,0.0,0.0,694,"17,271"
Изучаем криптопроекты,channel/UC2J5kCOEI-LRppTb202inXQ,2023-06-14,245.0,26283,4.0,12.0,0.0,0.0,"1,388","15,127"
Илья Торлопов,channel/UC8fnxB0yg1EQ8BqF7yEla5A,2023-04-29,142.0,25875,0.0,0.0,0.0,0.0,0,"6,120"
Инвестиции с Grisha Raven,channel/UCLXsgYxMoqH5AoPc4mM64og,2023-06-17,29000.0,26384,4.0,30.0,0.0,0.0,"3,470","52,129"
ИнвестицииBY,channel/UCPU9wV5arBWrVoYeMLM__kA,2023-05-28,2830.0,26086,1.0,3.0,0.0,0.0,347,"9,334"
интернет заработок,channel/UCmvLwQrGUjTm5o4DPiIigdg,2023-07-27,1370.0,26715,6.0,18.0,0.0,0.0,"2,082","6,002"
КАК ЗАРАБОТАТЬ В ИНТЕРНЕТЕ / BOYKOFF,channel/UCgulwyHieRpATZWlE82Palg,2023-08-08,9170.0,27121,4.0,30.0,50.0,10.0,"10,409","10,409"
Как заработать в интернете с Artur Knows,channel/UCK95A90P0zy6-OaHQ6TI8WQ,2023-08-07,45300.0,26986,8.0,60.0,50.0,25.0,"15,614","15,614"
КАК ЗАРАБОТАТЬ ДЕНЬГИ В ИНТЕРНЕТЕ,channel/UCMNnkkWdBK9F-ISWm_DRgvA,2023-08-07,2120.0,27024,20.0,45.0,20.0,0.0,"7,518","7,517"
Котелок инвестора,channel/UCIxnu9EOgbClosHB0Ox6aCA,2023-08-05,10300.0,26899,15.0,112.5,50.0,0.0,"18,737","18,736"
КотлONE ,channel/UCRJYt_uIBFlCSh8b6byaTlg,2023-07-31,387.0,26797,0.0,0.0,0.0,0.0,0,"3,652"
Крипта Для Своїх,channel/UCS0vXgDC1_Rd8VubgAcZDfg,2023-08-06,264.0,26816,0.0,0.0,20.0,0.0,"2,313","2,313"
Крипто Батя,channel/UCNdVwrx4lc_41fJRLN9D5CQ,2023-07-19,229000.0,26621,5.0,75.0,0.0,0.0,"8,675","26,026"
Крипто Гамеры,channel/UC_HY84x6rLmbn3whQZkqYCQ,2023-06-16,1020.0,26356,0.0,0.0,0.0,0.0,0,"5,000"
Крипто Инфошум,channel/UCKDWAuL1gv9BdI0LeN3tcKg,2023-08-02,44500.0,26738,3.0,22.5,0.0,0.0,"2,545","11,676"
Крипто Козак,channel/UCMwhnUwh8F1EVEz6Adt4DfQ,2023-08-05,681.0,26877,1.0,3.0,20.0,0.0,"2,660","2,660"
Крипто Плечо,channel/UCSGqZutLQWuwN88nafALkwg,2023-07-21,49900.0,26631,1.0,7.5,0.0,0.0,810,"23,358"
КРИПТО ХОМЯК,channel/UCR6TqzqVoyL__ISWOJXws6Q,2023-08-05,415.0,26868,7.0,21.0,20.0,0.0,"4,742","4,742"
КРИПТО ХОМЯК,channel/UCR6TqzqVoyL__ISWOJXws6Q,2023-07-07,400.0,26526,7.0,21.0,0.0,0.0,"2,429","14,599"
Крипто Хомяк,channel/UCJkRzypvKA8GJmscr89IjOw,2023-07-17,345.0,26600,0.0,0.0,0.0,0.0,0,"3,470"
Крипто Эфир,channel/UCgcEbCF5h2YQlC3AWrj7tuQ,2023-05-18,287.0,25848,0.0,0.0,0.0,0.0,0,"6,200"
КриптоUA,channel/UCXp_bONfbkEpeX4KgInGS8Q,2023-07-28,5660.0,26751,1.0,7.5,0.0,55.0,"7,171","16,302"
Криптовалюта & Майнинг,channel/UCRA7ospWlvISutPG2UueQaw,2023-07-19,3250.0,26622,3.0,9.0,0.0,0.0,"1,041","6,206"
КриптоЗарплата,channel/UC2tZw78IrgFL7mybkKqdlBw,2023-07-19,11300.0,26627,10.0,75.0,0.0,0.0,"8,675","20,548"
ЛОВИ ЛАВЭ,channel/UCmmfPs-4OnHsgUzR6XWYKdg,2023-07-24,1380.0,26677,6.0,18.0,0.0,0.0,"2,082","6,002"
Лунный инвестор,channel/UCsKbgGh3FHKuGN6guiNPwcQ,2023-04-05,741.0,25763,8.0,24.0,0.0,0.0,"2,776","100,215"
Михаил Степанов и бизнес в интернете,channel/UCYPZmFzHR_ZHhYAO5s6m0FQ,2023-08-04,4630.0,26851,8.0,24.0,20.0,10.0,"6,246","6,245"
МИХАЙЛИШИН MONEY,channel/UCniP2eHfOdsTW9wX0ef7pRw,2023-08-04,2510.0,26829,0.0,0.0,20.0,0.0,"2,313","2,313"
Мутим на Крипте! ,channel/UCo5siezhTr9mAA5umYHYG1A,2023-07-05,3610.0,26242,3.0,9.0,0.0,0.0,"1,041","16,074"
Олександр Ганненко,channel/UCJgj6KNE_D7ysstHV-DPIbQ,2023-07-11,2600.0,26545,7.0,21.0,0.0,0.0,"2,429","12,273"
Опасные Волны Elliot,channel/UCPzeJCl2XeVgETMK4UZnYuA,2023-08-10,77000.0,26630,0.0,0.0,0.0,0.0,0,"22,549"
Платіж зараховано,channel/UCCTNQRN8dr-YuLL-GEYPdcw,2023-07-29,1070.0,26758,4.0,12.0,0.0,0.0,"1,388","5,039"
После Работы | О крипте ,channel/UC02pb5FR05nOUmyJo3w_vzA,2023-06-13,1300.0,26269,0.0,0.0,0.0,0.0,0,"6,341"
ПРО INVESTING,channel/UC5nitve59tYRKQ96U7yReZA,2023-08-07,1030.0,27051,0.0,0.0,20.0,0.0,"2,313","2,313"
Про крипту / українською,channel/UCWbJOoh3obEBmKLMg5nJg-A,2023-07-28,335.0,26744,5.0,15.0,0.0,0.0,"1,735","5,386"
Проста Крипта ,channel/UCs5y5P3mx73c-vQkmsoAMjQ,2023-07-28,1480.0,26740,2.0,6.0,0.0,0.0,694,"4,345"
Просто Крипто 2023,channel/UCbtSmLHc7WyHp2Zj8Dx7a1Q,2023-07-29,413.0,26753,21.0,45.0,0.0,0.0,"5,205","8,856"
Родион Ионов,channel/UC4qLyF7BVMy3zvyWukNp3FQ,2023-05-18,112.0,22851,0.0,0.0,0.0,0.0,0,"5,300"
СRYPTOPOLOVKA,channel/UCEJaxJjNq51sze9aVWdCdXQ,2023-08-05,8910.0,26870,8.0,60.0,50.0,0.0,"12,723","12,722"
СYBER КРИПТА,channel/UCbJFURAIRr4rPAntTcjI7TQ,2023-08-04,3060.0,26836,0.0,0.0,20.0,0.0,"2,313","2,313"
Сергей П,channel/UC_8CGrmesPd4IJTXGCNG2Yw,2023-08-01,123.0,26805,3.0,9.0,0.0,0.0,"1,041","4,692"
ТАБЫС ТАБУ,channel/UCL3ZKJzaXbk4eaFDB0s-WlA,2023-08-09,3170.0,27208,1.0,3.0,20.0,0.0,"2,660","2,660"
Татьяна Камбулова,channel/UCd-NxIWe9YqhpXxCwDw8l5g,2023-08-09,63.0,27176,0.0,0.0,20.0,0.0,"2,313","2,313"
Твій Фріланс * заробіток * крипта,channel/UC-6lC77WcUi0V-V7HtIjVgA,2023-07-28,173.0,26730,2.0,6.0,0.0,0.0,694,"4,345"
ТЕРРИТОРИЯ КРИПТЫ,channel/UCE7AoyeGCqKNkPQYDgl9neQ,2023-07-29,1440.0,26768,0.0,0.0,0.0,0.0,0,"3,652"
Тут платят,channel/UCv5W5t0jacHqCrb9-01QS-w,2023-08-07,1000.0,27065,6.0,18.0,20.0,0.0,"4,395","4,395"
Флиппер с завода,channel/UCZY1N_-NDakRGIXa-zZeDkg,2023-06-19,414.0,26442,4.0,12.0,0.0,0.0,"1,388","9,899"
ХАЙП МОНИТОРИНГ,channel/UCL4Bl3HhOJOepeENZs5hL_A,2023-08-08,526.0,27098,14.0,42.0,20.0,0.0,"7,171","7,170"
ЧЕСТНЫЙ ЗАРАБОТОК,channel/UCtZr8sRX-EmxA3s0boR0MVg,2023-07-30,908.0,26774,0.0,0.0,0.0,0.0,0,"3,652"
ЮРАШ CRYPTO NFT ,channel/UCUZvhqKErj2tseXJUvzjUkQ,2023-04-05,479.0,23788,6.0,18.0,0.0,0.0,"2,082","68,241"
TOTAL,-,-,"4,864,409",-,"1,335","4,844","1,720",745,"843,743","4,988,989"
