Channel Name,Category,Contact,Language,Link,Subscribers
Forkast News,"Crypto, NFT",,ENG,https://www.youtube.com/channel/UCu35E1yzOGlW1Lw7M_8gwQg,19000
CodyOnChain,NFT,,ENG,https://www.youtube.com/channel/UCsTY2IqnokrIrYhrOAoP36A,23500
hΞadsauce,NFT,,ENG,https://www.youtube.com/channel/UCxLNoADcmi85Hy2hEbFOADA,11000
Optimus,Crypto,,RU,https://www.youtube.com/c/Optimuss,30000
Coin Bureau,Crypto,,ENG,https://www.youtube.com/channel/UCqK_GSMbpiV8spgD3ZGloSw,2070000
MMCrypto,"Trading, Crypto",,ENG,https://www.youtube.com/c/MMCryptoTube,554000
The Daily Gwei,Ethereum,,ENG,https://www.youtube.com/channel/UCvCp6vKY5jDr87htKH6hgDA,20000
Crypton,"NFT, Play-2-earn",,RU,https://www.youtube.com/channel/UCIe1WmAFLTNkKFjJtj8XY8Q,83000
Madiskarteng Online TV,Crypto,,Philippine,https://www.youtube.com/channel/UCh36RiRSQaaeAmlhZAHaDtg,19000
Sevaev invest,Crypto,,RU,https://www.youtube.com/channel/UC-1gFkxt7BF1QobcKATZECg,3500
Rico Copeland,NFT,,ENG,https://www.youtube.com/channel/UCJt1pAEFPYtXN14CF2jjJpg,94000
Андрей Соболев,Crypto,,RU,https://www.youtube.com/channel/UC0btvS_RZvsgJVkCywaSHyQ,10000
Constanto,NFT,,RU,https://www.youtube.com/channel/UCxh7T6D4-4_2GhP7JXHJxPg,978000
SASHA TOYZ,NFT,,RU,https://www.youtube.com/channel/UCO4u834fD8Ft9kmg37Jk-2A,1300
PRO BLOCKCHAIN,Crypto,,RU,https://www.youtube.com/channel/UCgWfwPyxVa_R6Pt7YkQo3og,182000
Universal Business Channel,Crypto,,Turkey,https://www.youtube.com/channel/UC-L21TsMrrz68SM7zNmpejQ,
CryptoLeo,Crypto,,RU,https://www.youtube.com/channel/UC3OPcoPF28zqGo4ujp2mL0Q,80000
Crypto deiseNN,Crypto,,Bulgaria,https://www.youtube.com/channel/UCfJ0Zu8sPx3JnDyC2pBm-vw,
КриптоБош,Crypto,,RU,https://www.youtube.com/channel/UCbOU3zPJgPLduHZ1LRnNhwQ,26000
Думай Действуй,NFT,,RU,https://www.youtube.com/channel/UC3SR9C_Mb6C-Rwm9hMqwiDw,9000
Boxmining,Crypto,,ENG,https://www.youtube.com/channel/UCxODjeUwZHk3p-7TU-IsDOA,268000
CryptoMind,"NFT, GameFi",,Spanish,https://www.youtube.com/channel/UCf5tKiOwzt-2kyiklnxBeqg,109000
Technical Naeem Afridi,Crypto,,ENG,https://www.youtube.com/channel/UCdD80moOjQOvGq58CS4WXkw,
Simply Explained,Crypto,,ENG,https://www.youtube.com/c/Savjee,424000
NFT KING / запуск и продвижение nft,NFT,,RU,https://www.youtube.com/channel/UCjCErCT1ebeOeelIiRYaqHg,1200
Alexander Lorenzo,"Crypto, NFT",,ENG,https://www.youtube.com/channel/UCHQv-nQ2caXVvtTFa8WOJRA,187000
Crypto Hub,"Crypto, NFT",,RU,https://www.youtube.com/channel/UCNV_9Q2aTXBswJe3Pa3S_Ng,132000
aantonop,Crypto,,ENG,https://www.youtube.com/channel/UCJWCJCWOxBYSi5DhCieLOLQ,318000
Sheldon Evans,"Crypto, tech and finance",,ENG,https://www.youtube.com/channel/UCZ3fejCy_P5xhv9QF-V6-YA,736000
Best Crypto Projects,Crypto,,RU,https://www.youtube.com/channel/UCOezxIDONhBTod7XbB0yZdQ,12500
Earn With Sherazi,Crypto,,Indian,https://www.youtube.com/channel/UCngcBdf5z7rUGMgLwmbN_Pw,10000
C Rich,Crypto,,Indonesia,https://www.youtube.com/c/CRichReal,27000
Juli Cold,"Crypto, NFT",,RU,https://www.youtube.com/channel/UCc6e81hyAekBqSduUJShcWA,74000
Crypto Crown,Crypto,,Indian,https://www.youtube.com/channel/UCwRiAuuFMnCrbGV-b5vnoGg,137000
Cryptorell,"NFT, Crypto",,Spanish,https://www.youtube.com/channel/UCJg8P4yplxvs02OBGAPd_3Q,77000
EVTUBO,,,RU,https://www.youtube.com/channel/UCZdYIn1RdfpCAqt7YHnoo_A,55000
Lotic,NFT,,ENG,https://www.youtube.com/c/Loticbtc,301000
Заметки Майнера,"Mining, Crypto",,RU,https://www.youtube.com/channel/UCtQtDJkgcnYiauCl24HaNwQ,59000
hamaha bitcoin trading UA,"Trading, Crypto",,RU,https://www.youtube.com/c/HAMAHAtrader,140000
Crypto Commons 2.0,Crypto,,RU,https://www.youtube.com/channel/UC-BGjEavwroWzzuIYTFEo0Q,37000
Crypto King,"Crypto, NFT",,ENG,https://www.youtube.com/channel/UC0SesdSOSgLERIZSj_FC8wQ,45000
Gagarin show,Crypto,,RU,https://www.youtube.com/channel/UCeCvH7wYUvURzYiWy8Zxs2g,76000
The Moon,Crypto,,ENG,https://www.youtube.com/channel/UCc4Rz_T9Sb1w5rqqo9pL1Og,560000
Capitalist,Crypto,,ENG,https://www.youtube.com/c/Capitalisti,162000
MR. ANDROiD,Crypto,,Philippine,https://www.youtube.com/channel/UCT-7HGXxywQuoEKzSaubgzg,96000
CryptosRUs,Crypto,,ENG,https://www.youtube.com/c/CryptosRUs,644000
Cek,Crypto,,Turkey,https://www.youtube.com/channel/UCkltn3i17bUFwAfW2gw0EOA,
Cheeky Crypto,Crypto,,ENG,https://www.youtube.com/channel/UCd4Ys__EL_gbJrYq6JscrAw,127000
My Financial Friend,Crypto,,ENG,https://www.youtube.com/c/MyFinancialFriend,231000
Deki Gang,Crypto,,RU,https://www.youtube.com/channel/UCWD4ghJh5UAaEthiD4HjEiA,14000
Cameron Fous,"Crypto, NFT",,ENG,https://www.youtube.com/channel/UCwGflGmzevf4fcm-z8E-twA,441000
Lark Davis,Crypto,,ENG,https://www.youtube.com/c/TheCryptoLark,488000
knowledge box,Crypto,,Indian,https://www.youtube.com/channel/UCe_aXr8J4IJiC9b0h11DTYg,
CRYPTAZA,Crypto,,RU,https://www.youtube.com/c/CRYPTAZAPRO,15000
Crypto King Keyur,Crypto,,Indian,https://www.youtube.com/channel/UCE1RMPyR6yg0lFkZ94KaoFQ,135000
Brian Jungy,Crypto,,ENG,https://www.youtube.com/c/BrianJungy,1170000
CloudGeo,NFT Games,,RU,https://www.youtube.com/c/CloudGeo,22000
Incrypted,"Crypto, NFT",,RU,https://www.youtube.com/c/Incryptednet,110000
ВСЕ О ЗАРАБОТКЕ И КРИПТОВАЛЮТЕ - BLACK MARKET,Crypto,,RU,https://www.youtube.com/channel/UCKt1poZcDgcx5C1QLHTMp-g/videos,15700
Xheo,NFT,,Spanish,https://www.youtube.com/channel/UClVR4N7qaA9kh-c4QZajJGg,1760000
Sebastian Ghiorghiu,"Crypto, NFT",,ENG,https://www.youtube.com/channel/UCZ59iKBmGRfQlnl73sOX0Lw,407000
Paul Barron Network,"Crypto, NFT",,ENG,https://www.youtube.com/channel/UC4VPa7EOvObpyCRI4YKRQRw,327000
Crypto Dream,Crypto,,ENG,https://www.youtube.com/channel/UCmoTPFVSmclx3TgU_rOOkzg,
Crypto Love,"Crypto, Bitcoin",,ENG,https://www.youtube.com/channel/UCu7Sre5A1NMV8J3s2FhluCw,244000
Goalorious,NFT,,ENG,https://www.youtube.com/channel/UCATk5kugWqzwe80NIXwGIyQ,71000
Vincent Briatore,"Crypto, Tech",,ENG,https://www.youtube.com/channel/UCs4Z_s2SngU_f4HpIz1o4mw,38000
Ivan on Tech,Crypto,,ENG,https://www.youtube.com/channel/UCrYmtJBtLdtm2ov84ulV-yg,494000
Go Shiny Hunter,"NFT, Play-2-earn",,ENG,https://www.youtube.com/channel/UC18_n93KTbIuAwdTluXHTYA,57000
Token Metrics,Crypto,,ENG,https://www.youtube.com/channel/UCH9MOLQ_KUpZ_cw8uLGUisA,112000
Криптонация LIVE,"NFT, Crypto",,RU,https://www.youtube.com/channel/UC80BwD0EtVxwnErB2AX2fUw,63000
